Logged at 29/01/2026 11:28:05 AM - hello successfully login
Logged at 29/01/2026 2:23:35 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:43 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:43 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:46 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:46 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:51 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:51 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:55 PM - API: PUT /api/rentals/owner/10/approve | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:55 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:59 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:23:59 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:24:00 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:24:00 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:24:04 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:24:04 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:11 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:17 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:17 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:18 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:18 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:19 PM - API: GET /api/payments/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:19 PM - API: GET /api/payments/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:19 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:19 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:25 PM - API: GET /api/owners/profile | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:25 PM - API: GET /api/owners/profile | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:25 PM - API: GET /api/payments/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:25 PM - API: GET /api/payments/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:26 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:26 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:27 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:27 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:28 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:28 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:37 PM - API: DELETE /api/rentals/farmer/12 | Status=500 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:44 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:44 PM - API: GET /api/owners/equipments | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:46 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:34:46 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:04 PM - API: GET /api/payments/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:04 PM - API: GET /api/payments/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:08 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:08 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:30 PM - API: GET /api/payments/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:30 PM - API: GET /api/payments/owner | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:31 PM - API: GET /api/owners/profile | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:31 PM - API: GET /api/owners/profile | Status=200 | UserId=3, Role=ROLE_OWNER
Logged at 29/01/2026 2:35:32 PM - API: GET /api/rentals/owner | Status=200 | UserId=3, Role=ROLE_OWNER
